date,ph
02/18/2016 03:37:22,8.0782
02/18/2016 03:42:23,8.0811
02/18/2016 03:47:30,8.0827
02/18/2016 04:13:57,8.0754
02/18/2016 04:23:59,8.0722
02/18/2016 04:29:00,8.0722
02/18/2016 04:39:02,8.0668
02/18/2016 04:44:03,8.0615
02/18/2016 04:49:04,8.0611
02/18/2016 04:54:05,8.0563
02/18/2016 04:59:06,8.054
02/18/2016 05:04:07,8.0516
02/18/2016 05:29:19,8.0385
02/18/2016 05:44:22,8.0284
02/18/2016 05:49:23,8.0231
02/18/2016 05:54:24,8.0168
02/18/2016 06:24:30,7.9915
02/18/2016 06:39:33,7.9821
02/18/2016 06:44:34,7.9792
02/18/2016 06:49:35,7.9743
02/18/2016 06:54:36,7.971
02/18/2016 06:59:37,7.9688
02/18/2016 07:04:38,7.9648
02/18/2016 07:14:40,7.9603
02/18/2016 07:29:43,7.9532
02/18/2016 07:34:44,7.9503
02/18/2016 07:39:45,7.9474
02/18/2016 07:59:49,7.9409
02/18/2016 08:14:52,7.9331
02/18/2016 08:29:55,7.9282
02/18/2016 08:34:57,7.9246
02/18/2016 08:39:58,7.9251
02/18/2016 08:55:33,7.9169
02/18/2016 09:05:35,7.9165
02/18/2016 09:20:38,7.9116
02/18/2016 09:25:39,7.9085
02/18/2016 09:45:43,7.9038
02/18/2016 10:00:46,7.9006
02/18/2016 10:10:49,7.8965
02/18/2016 10:35:54,7.8906
02/18/2016 10:40:55,7.8882
02/18/2016 10:54:45,7.8853
02/18/2016 10:59:46,7.8845
02/18/2016 11:04:47,7.8837
02/18/2016 11:09:48,7.8821
02/18/2016 11:14:49,7.8818
02/18/2016 11:19:50,7.8783
02/18/2016 11:24:51,7.8807
02/18/2016 11:29:52,7.8769
02/18/2016 11:34:53,7.877
02/18/2016 11:39:54,7.8742
02/18/2016 11:44:55,7.8738
02/18/2016 11:49:56,7.8714
02/18/2016 11:54:57,7.8711
02/18/2016 11:59:58,7.8708
02/18/2016 12:05:00,7.8701
02/18/2016 12:10:00,7.8706
02/18/2016 12:20:02,7.8679
02/18/2016 12:25:03,7.8678
02/18/2016 12:30:04,7.8662
02/18/2016 12:35:05,7.864
02/18/2016 12:40:06,7.8623
02/18/2016 12:45:08,7.8637
02/18/2016 12:50:09,7.8622
02/18/2016 12:55:10,7.8623
02/18/2016 13:00:11,7.8596
02/18/2016 13:05:12,7.8597
02/18/2016 13:10:13,7.8588
02/18/2016 13:15:14,7.8579
02/18/2016 13:20:15,7.8574
02/18/2016 13:25:16,7.8567
02/18/2016 13:30:17,7.8544
02/18/2016 13:35:34,7.8552
02/18/2016 13:40:19,7.8539
02/18/2016 13:45:20,7.855
02/18/2016 13:50:21,7.8511
02/18/2016 13:55:22,7.8498
02/18/2016 14:00:23,7.8516
02/18/2016 14:05:24,7.8512
02/18/2016 14:10:25,7.8498
02/18/2016 14:15:26,7.8499
02/18/2016 14:20:27,7.8468
02/18/2016 14:25:28,7.8481
02/18/2016 14:30:29,7.8457
02/18/2016 14:35:30,7.8469
02/18/2016 14:40:35,7.8445
02/18/2016 14:45:47,7.8446
02/18/2016 14:50:33,7.8437
02/18/2016 14:55:34,7.8431
02/18/2016 15:00:35,7.8426
02/18/2016 15:05:36,7.8414
02/18/2016 15:10:37,7.8385
02/18/2016 15:15:38,7.8378
02/18/2016 15:20:39,7.8338
02/18/2016 15:25:40,7.8331
02/18/2016 15:30:41,7.8306
02/18/2016 15:35:42,7.8319
02/18/2016 15:40:43,7.8326
02/18/2016 15:45:44,7.8322
02/18/2016 15:50:45,7.8282
02/18/2016 15:55:46,7.8304
02/18/2016 16:00:47,7.8268
02/18/2016 16:05:48,7.8275
02/18/2016 16:10:49,7.8281
02/18/2016 16:15:50,7.83
02/18/2016 16:20:51,7.8318
02/18/2016 16:25:52,7.8331
02/18/2016 16:30:53,7.8357
02/18/2016 16:35:54,7.836
02/18/2016 16:40:55,7.8396
02/18/2016 16:45:56,7.8395
